投稿日,画像ファイル,X本文,Threads本文,ステータス
2026-09-08,images/17-3.jpg,"急な水道の修理。

別にしておいたから、落ち着いて払えた。

増えた数字だけが、成果じゃない。","ある日、急に水道の修理が必要になりました。

以前ならパニックだったと思います。でも「生活を守るお金」を別にしておいたので、落ち着いて対応できました。

「初めての成果は、増えた数字だけではないのよ」

手放す必要のない選択肢を守れたこと。それが資産防衛の成果なんだそうです。

私の最初の一歩は、減らさずに学び続けられたこと。",済
2026-09-09,images/18-1.jpg,"借入は悪いことだと、ずっと思っていた。

悪なのは借入そのものじゃなく、
使い方と条件だった。

#3コマ漫画","「借入は悪いことだと、ずっと思っていました」

正直にそう言ったら、返ってきたのは

「借入そのものが悪なのではなく、使い方と条件が大切なの」

そのお金の流れがプラスになるのか、マイナスになるのか。負担になる借入と、目的のある借入は違う。

借りることではなく、仕組みを理解することが先。

固定観念を手放すって、けっこう体力がいりますね。",済
2026-09-09,images/18-2.jpg,"金利、期間、キャッシュフロー。

大切なのは差を追うことより、
出口を見極めること。","ホワイトボードに書かれたのは「調達コスト → 想定収益」。

条件と出口を確認する。ノートに書いたのは3つ。

金利／期間／キャッシュフロー

一見小さな数字でも、元の金額が大きければ動く額は大きくなる。だからこそ、差を追うより出口を見極めること。

数字の話なのに、最後は「ちゃんと確かめたか」という姿勢の話になるのが不思議でした。",済
2026-09-09,images/18-3.jpg,"「私が真似すべきなのは、借りることですか？」

「いいえ、信用信頼を積み上げることよ」","「では、私が真似するべきなのは借りることですか？」

「いいえ、信用信頼を積み上げることよ。借りるには、それが必須になるわ」

小さな差を追う前に、土台を整える。

目的／条件／返済／変化への備え

資産家の考え方は、不確実さを無視するのではなく、管理すること。

仕組みを理解して、仕組みを作っていける人になりたいです。",済
2026-09-10,images/19-1.jpg,"「でも負債って、やっぱり怖くない？」

返せない借入と、目的のある借入は、別のもの。

#3コマ漫画","友達に「最近、雰囲気が変わったね。何を学んでいるの？」と聞かれました。

「借入を悪と決めつけずに、仕組みを考えることを学んでいるの」

「でも負債って、やっぱり怖くない？」

怖いのは、返せない借入と目的のない借入。だからこそ条件を見て、無理なく続けられるかを考える。

目的、返済、資金繰り。この3つを見るようになりました。",済
2026-09-10,images/19-2.jpg,"借入額だけじゃなく、お金の流れを見る。

収入と返済。条件の変化。最悪のとき。","「キャッシュフローを生むなら、借入はいいの？」

「それだけで良いとは言えないよ」

ノートに書いたのは、見るべき3つ。

収入と返済／条件の変化／最悪のとき

支払いを続けられるか。変化にも耐えられるか。

金額の大きさより、流れを見る。決めつけずに仕組みを学ぶって、こういうことなんだと思います。",済
2026-09-10,images/19-3.jpg,"「前のあなたなら、怖いで終わっていたかもね」

まだ分からないことばかり。
だから、学び続けたい。","「前のあなたなら、怖いで終わっていたかもね」

友達にそう言われて、少し照れました。

答えを急がずに、ちゃんと考えられるようになった。それだけでも、変わったんだと思います。

まだ分からないことばかりです。だから学び続けたい。

学んだことを一人で抱えず、一緒に考えていけたらうれしいな。

帰り道の空が、やけにきれいでした。",済
2026-09-11,images/20-1.jpg,"管理、法務、会計。

それぞれの役割を尊重する。

お金の話の前に、人との向き合い方を学ぶ。

#3コマ漫画","「次の学びは、誰と信頼を育てるかよ」

私はまだ学ぶことばかりで、何ができるんだろうと思っていました。

管理、法務、会計。それぞれに役割があって、それを尊重すること。

長い関係は、正確な報告と誠実さから始まります。

お金の話の前に、人との向き合い方から。順番って、いつもそっちなんですね。",済
2026-09-11,images/20-2.jpg,"信頼は、紹介を待つことではなく
約束を守ることから育つ。

小さなことほど、正確に返そう。","「信頼は、紹介を待つことではなく、約束を守ることから育ちます」

ホワイトボードには「小さな積み重ねが大きな信頼につながる」。

だから、小さなことほど正確に返す。

点検の記録、連絡や対応の記録、やりとり、次の予定、気づき。

「丁寧に聞いてくれて安心しました」

この一言が、どんな成果より嬉しかったです。",済
2026-09-11,images/20-3.jpg,"人脈は、人数ではない。

互いに成長できる関係のこと。","「あなたの次の役割は、学びを人に返すことよ」

まだ途中の私にできるかな、と思いながらも、一緒に考える時間をつくることにしました。

「人脈は人数ではないの。互いに成長できる関係よ」

この言葉で、数ばかり気にしていた自分が少し恥ずかしくなりました。

信頼は行動で育ち、学びは分かち合うほど深くなる。",済
2026-09-12,images/21-1.jpg,"「私がメンター役を…？
まだ学ぶことばかりです」

「答えを与える人ではなく、
考える力を支える人になるのよ」

#3コマ漫画","「次の段階では、あなたにも伴走してほしいの」

私がメンター役なんて、まだ早いと思いました。

でも言われたのは

「答えを与える人ではなく、考える力を支える人になるのよ」

それなら、できるかもしれない。

聞きたいこと。分からないこと。気になること。まずは一緒に書き出すところから始めています。",済
2026-09-12,images/21-2.jpg,"「何を選べばいいのか分からなくて…」

目的は？ 分からないことは？ 心配なことは？

答えより先に、質問を整理する。","「何を選べばいいのか、分からなくなってしまって…」

そう言われたとき、答えを出したくなる気持ちをぐっとこらえました。

「まずは、何のために考えているのかを言葉にしてみましょう」

目的は？／分からないことは？／心配なことは？

書き出しただけで「自分で考える順番が見えてきました」と言ってもらえて。

答えより先に、質問を整理する。これ、効きます。",済
2026-09-12,images/21-3.jpg,"良いメンターは、
答えを持つ人ではなく
学び続ける人。","「良いメンターは、答えを持つ人ではなく、学び続ける人よ」

これを聞いて、肩の力が抜けました。

完璧じゃないと人には教えられない、と思い込んでいたので。

私も学びを止めずに、誰かの考える力を支えたい。

それが次の世代へ、信頼をつないでいく。

夕暮れのサロンの前で、そんな話をしていました。",済
2026-09-13,images/22-1.jpg,"「今度はあなたが、
小さな学びの会を開いてみない？」

私にできるでしょうか。

#3コマ漫画","「今度はあなたが、小さな学びの会を開いてみない？」

私にできるでしょうか、と口に出したら

「あなたらしい明るさで、みんなの考える力を引き出して」

うまくやろうとしなくていいんだ、と思えました。

目的／確認／次の一歩。それだけ用意して、あとは「安心して話せる場」にすること。

私も楽しみながら、一緒に学べる場をつくります。",済
2026-09-13,images/22-2.jpg,"「早く答えを知って進みたい」
「まだ不安で、もう少し考えたい」

どちらの気持ちも、大切。","会を開いたら、まったく逆の声が出ました。

「早く答えを知って、次に進みたいです」
「私はまだ不安で、もう少し考えたいです」

どちらが正しいかではなく、どちらの気持ちも大切。

そこでボードを3つに分けました。

今できること／聞いて確かめること／待つこと

一人で急いで決めなくても、考える順番があれば前に進める。

「それなら私にもできそうです」の一言が、うれしかったです。",済
2026-09-13,images/22-3.jpg,"「答えをもらうより、
自分で考えられた気がします」

いちばん嬉しい感想でした。","学びの会のあと、ボードに「今日の気づき」の付箋がたくさん並びました。

「答えをもらうより、自分で考えられた気がします」

これ以上ない感想だと思いました。

「あなたは明るさで、みんなの道を照らしたのよ」

これからも一歩ずつ、みんなと学べる場を育てたい。

その気持ちが、次の挑戦をひらくんだそうです。",済
2026-09-14,images/23-1.jpg,"必要になる時期も金額も、なんとなくで不安。

いつ？ 何に？ どれくらい？

書き出すだけで、少し落ち着く。

#3コマ漫画 #教育費","「子どもの教育費の積み立て、このままでいいのかな？」

相談に来た方が言っていたのは「必要になる時期も金額も、なんとなくで不安」ということ。

これ、すごくよく分かります。

だから、まず見えるようにしました。

いつ？／何に？／どれくらい？

小学校、中学校、高校、大学。並べただけで「不安だったことが少し整理できました」と。

もやもやの正体は、たいてい見えていないことなんですよね。",済
2026-09-14,images/23-2.jpg,"SNS、動画、ランキング、おすすめ。

情報が多すぎて、動けない。

全部を知る必要はない。","「貯金はしてきたけど、情報が多すぎて動けないんです」

SNS、動画、ランキング、おすすめ。全部を追いかけようとすると、かえって手が止まりますよね。

「全部を知る必要はありません。まず自分の目的から考えましょう」

安心の土台／学ぶこと／次の一歩

この3つに分けただけで「今の私に必要なことが少し見えてきました」と。

情報を減らすことも、立派な整理です。",済
